budget,original_language,popularity,revenue,vote_average
164,140000000,en,24.855701,285444603,6.3
165,137000000,en,34.981698,245360480,5.3
166,130000000,en,59.325589,371876278,5.4
167,130000000,en,21.605568,119269486,5.7
168,137000000,en,26.074908,85131830,5.9
169,140000000,en,74.506246,370569774,6.6
170,135000000,en,39.604363,361832400,6.0
171,150000000,en,36.973031,212011111,6.9
172,120000000,en,99.687084,829000000,6.1
173,130000000,en,17.7735,150406466,5.8
174,150000000,en,62.898336,163712074,6.1
175,140000000,en,44.19092,183345589,6.0
176,135000000,en,100.635882,532950503,7.3
177,135000000,en,44.765377,282570682,6.1
178,135000000,en,29.91353,245724603,6.6
179,132000000,en,84.366984,373552094,6.5
180,70000000,en,45.381501,442824138,7.3
181,130000000,en,84.689648,631744560,6.9
182,130000000,en,120.09361,519311965,7.0
183,130000000,en,76.310119,847423452,7.4
184,135000000,en,63.473086,368871007,6.8
185,132000000,en,48.572726,591739379,6.2
186,130000000,en,38.068736,273339556,6.3
187,130000000,en,20.678787,554987477,6.4
188,110000000,en,48.829437,293329073,6.2
189,125000000,en,46.115758,362637473,5.6
190,130000000,en,89.938296,371940071,6.7
191,130000000,en,79.679601,789804554,7.7
192,130000000,en,28.840997,49554002,6.3
193,130000000,en,42.840582,243843127,5.0
194,127500000,en,26.548594,354248063,6.2
195,127000000,en,115.597753,349424282,6.1
196,130000000,en,68.757242,321887208,6.7
197,125000000,en,109.984351,976475550,7.5
198,130000000,en,39.448066,61648500,5.4
199,140000000,en,271.972889,655011224,7.5
200,125000000,en,206.227151,752100229,6.6
201,125000000,en,45.313197,767820459,6.5
202,103000000,en,42.40024,500188435,6.3
203,110000000,en,2.871739,407711549,6.8
204,125000000,en,7.255718,626137675,7.1
205,125000000,en,81.499621,334615000,7.0
206,125000000,en,47.686442,232713139,5.6
207,65000000,en,43.129703,261317921,7.1
208,160000000,en,27.220157,61698899,6.4
209,130000000,en,90.33681,276572938,6.0
210,125000000,en,50.073575,238207122,4.2
211,123000000,en,45.419668,345141403,6.2
212,125000000,en,41.380094,544272402,6.2
213,125000000,en,54.931334,546388105,5.9
214,120000000,en,25.752118,325756637,6.2
215,130000000,en,60.810723,289047763,5.4
216,120000000,en,51.328145,609016565,7.2
217,110000000,en,46.834704,228738393,5.2
218,120000000,en,62.641286,415484914,5.9
219,120000000,en,33.616115,259175788,5.2
220,130000000,en,68.889395,403170142,6.3
221,120000000,en,27.990284,169956806,5.4
222,115000000,en,67.33767,286140700,6.4
223,105000000,en,27.835436,115772733,6.3
224,120000000,en,66.757869,242688965,5.7
225,120000000,en,17.060695,93945766,5.7
226,120000000,en,11.137655,48668907,4.9
227,117000000,en,44.906918,261930431,5.9
228,120000000,en,67.698004,286168572,6.4
229,113000000,en,44.108427,850000000,7.1
230,120000000,en,43.987061,649398328,6.4
231,115000000,en,106.815545,562816256,7.5
232,120000000,en,15.953444,415440673,6.3
233,115000000,en,54.035265,924317558,6.3
234,135000000,en,64.183321,585178928,6.8
235,97250400,fr,20.344364,132900000,5.0
236,115000000,en,18.714197,77628265,5.8
237,115000000,en,60.467984,164602163,6.0
238,125000000,en,143.350376,477200000,5.8
239,105000000,en,110.153618,716392705,7.3
240,116000000,en,16.90444,178127760,5.7
241,135000000,en,39.873791,245623848,5.8
242,120000000,en,38.126095,167977596,4.4
243,110000000,en,48.780039,574480841,6.3
244,110000000,en,100.412364,470490832,6.0
245,110000000,en,42.887121,333011068,6.0
246,110000000,en,23.657284,215294342,6.8
247,110000000,en,76.840712,362744280,6.4
248,110000000,en,44.635452,478207520,6.5
249,110000000,en,103.718387,295238201,6.2
250,116000000,en,45.616098,102000000,7.0
251,112000000,en,22.845143,237382724,4.9
252,120000000,en,31.703608,227817248,5.5
253,110000000,en,71.510596,337580051,6.1
254,110000000,en,36.65422,563749323,5.5
255,110000000,en,19.625972,103951461,5.7
256,110000000,en,86.105615,179246868,5.9
257,110000000,en,37.195046,299268508,6.6
258,105000000,en,32.473628,347434178,5.5
259,160000000,en,23.336875,164508066,4.1
260,110000000,en,45.94834,125537191,6.6
261,110000000,en,48.93337,383531464,6.4
262,93000000,en,138.049577,871368364,8.0
263,110000000,en,22.643776,72178895,5.7
264,107000000,en,18.866672,87713825,6.7
265,0,en,18.251129,0,4.9
266,120000000,en,95.914473,347234916,6.7
267,130000000,en,44.490453,211643158,6.6
268,133000000,en,30.475297,300135367,5.8
269,105000000,en,62.479574,267045765,6.7
270,108000000,en,167.93287,630161890,7.6
271,126000000,en,37.68056,162949164,6.5
272,90000000,en,1.004579,10372291,3.7
273,90000000,en,52.995628,237202299,6.1
274,103000000,en,95.301296,457640427,7.9
275,102000000,en,65.948959,358372926,7.1
276,100000000,en,132.397737,876688482,7.4
277,150000000,en,88.935165,599045960,7.3
278,100000000,en,51.188633,362211740,5.6
279,100000000,en,101.74155,520000000,7.7
280,80000000,en,33.691694,214104620,6.5
281,100000000,en,42.361215,266465037,7.4
282,115000000,en,38.729418,378882411,6.8
283,100000000,en,40.597856,150166126,6.2
284,100000000,en,32.389353,310650585,5.4
285,100000000,en,24.399642,170432927,6.1
286,100000000,en,24.507987,242295562,5.6
287,100000000,en,82.121691,425368238,7.8
288,100000000,en,46.727941,100138851,6.8
289,100000000,en,51.113717,169327687,7.2
290,100000000,en,53.732892,312573423,6.1
291,100000000,en,58.849256,347451894,6.4
292,100000000,en,30.863434,249288105,4.9
293,100000000,en,31.586215,100086793,6.4
294,100000000,en,36.711378,268426634,6.4
295,100000000,en,41.426678,278731369,6.0
296,100000000,en,20.652943,211989043,5.5
297,100000000,en,52.792678,170877916,7.3
298,100000000,en,95.007934,392000694,7.9
299,100000000,en,48.205606,336529144,5.2
300,105000000,en,58.782359,121214377,6.7
301,102000000,en,73.872343,130482868,6.6
302,80000000,en,37.321848,140073390,6.5
303,100000000,en,32.271938,82102379,4.2
304,100000000,en,76.842247,243400000,5.6
305,140000000,en,38.924136,109578115,7.2
306,100000000,en,19.38841,68688831,5.3
307,90000000,en,61.025639,206172544,6.1
308,105000000,en,33.507289,133718711,5.5
309,84000000,en,17.815595,0,3.6
310,100000000,en,50.767332,93820758,6.5
311,100000000,en,12.092241,7103973,4.4
312,100000000,en,30.254021,94882889,6.4
313,99000000,en,34.308098,246233113,6.5
314,10000000,en,3.091077,13835130,7.1
315,98000000,en,41.862983,433013274,6.0
316,100000000,en,46.160048,193772504,7.1
317,94000000,zh,12.516546,95311434,7.1
318,85000000,en,23.230851,149044513,5.9
319,90000000,en,19.224754,102000000,5.4
320,92000000,en,44.455166,172989651,7.2
321,0,en,16.460356,104907746,5.6
322,90000000,en,109.528572,263920180,7.3
323,100000000,en,18.325897,288347692,5.4
324,95000000,en,37.054554,76432727,7.0
325,95000000,en,65.229868,877244782,6.2
326,95000000,en,101.187052,543514353,6.7
327,65000000,en,29.257137,93525586,6.6
328,94000000,en,85.688789,940335536,7.6
329,94000000,en,123.630332,1118888979,8.1
330,79000000,en,106.914973,926287400,8.0
331,95000000,en,63.628459,114178613,5.2
332,115000000,en,41.498631,274703340,5.7
333,100000000,en,58.991388,103039258,5.9
334,93000000,en,1.859364,368780809,5.7
335,93000000,en,138.433168,482860185,7.0
336,90000000,en,21.436682,162839667,6.3
337,92000000,en,65.402595,304654182,5.2
338,145000000,en,10.660441,25819961,5.8
339,92000000,en,77.817571,631442092,7.4
340,98000000,en,7.029308,10017322,5.7
341,95000000,en,61.121717,226497209,6.0
342,90000000,en,104.121555,589390539,6.9
343,90000000,en,73.575118,497366869,7.3
344,100000000,en,37.698465,167805466,6.3
345,90000000,en,35.814765,347325802,6.4
346,100000000,en,15.835672,155464351,6.3
347,100000000,en,46.781182,242988466,6.5
348,90000000,en,69.457898,886686817,6.5
349,90000000,en,43.348022,188133322,7.0
350,92000000,en,40.20395,264105545,5.6
351,90000000,en,63.429157,289847354,7.9
352,90000000,en,67.427755,304320254,7.6
353,92000000,en,43.192048,188072649,6.5
354,90000000,en,47.651083,232617430,7.2
355,90000000,en,51.881077,366101666,6.9
356,90000000,en,57.834787,524028679,7.0
357,100000000,en,29.608322,94061311,5.3
358,120000000,en,51.548589,186053725,6.7
359,0,en,27.867368,233755553,5.8
360,75000000,en,38.832842,200276000,6.7
361,90000000,en,40.597344,201596308,5.5
362,88000000,en,140.849495,243637091,5.6
363,100000000,en,34.035114,235926552,6.8
364,90000000,en,16.302378,182290266,5.2
365,90000000,en,55.249434,171120329,7.2
366,95000000,en,28.200874,190213455,5.6
367,80000000,en,18.69984,162944923,6.2
368,90000000,en,40.262261,174578751,5.9
369,95000000,en,56.811056,156505388,5.5
370,90000000,en,51.535701,334901337,6.7
371,68000000,en,20.913852,118063304,5.9
372,92000000,en,27.166757,143049560,6.8
373,90000000,en,16.058284,60874615,5.7
374,90000000,en,46.200042,484635760,6.5
375,100000000,en,24.939295,93700000,6.9
376,90000000,en,19.836124,0,5.2
377,90000000,en,15.350451,140807547,5.9
378,100000000,en,15.625949,35168966,6.1
379,20000000,en,31.802807,79114085,6.6
380,88000000,en,24.100863,108539911,7.3
381,90000000,en,3.593349,16178959,5.4
382,87000000,en,14.824166,148336445,6.7
383,92000000,en,32.079995,494471524,6.1
384,90000000,en,57.739713,429632142,7.5
385,100000000,en,37.272385,384335608,5.9
386,75000000,en,53.213931,288500217,7.2
387,85000000,en,36.38795,315156409,6.2
388,85000000,en,60.929352,450717150,7.2
389,75000000,en,36.605246,132274484,5.6
390,85000000,en,56.257411,358375603,6.8
391,85000000,en,29.21998,340487652,6.6
392,85000000,en,34.773106,208076205,6.3
393,85000000,en,9.895061,183611771,5.1
394,75000000,en,36.743324,152930623,5.8
395,85000000,en,44.967453,194168700,6.7
396,90000000,en,41.207568,250649836,6.7
397,85000000,en,16.479851,219103655,6.2
398,85000000,en,42.069993,311312624,6.5
399,85000000,en,26.61951,197309027,6.1
400,85000000,en,80.316463,288747895,6.9
401,68000000,en,41.273567,96976270,7.2
402,85000000,en,24.107835,80916492,6.4
403,85000000,en,32.044191,137298489,6.1
404,85000000,en,16.595874,162242962,7.3
405,85000000,en,8.282876,158468292,6.1
406,0,en,19.83683,0,6.7
407,90000000,en,36.069611,142940100,6.9
408,85000000,en,18.827753,78382433,5.5
409,0,en,5.159407,37823676,7.3
410,85000000,en,48.126297,183018522,5.5
411,60000000,en,38.885195,47664559,7.2
412,60000000,en,29.211255,74208267,5.4
413,84000000,en,17.783361,123307945,4.7
414,84000000,en,31.435539,275650703,5.4
415,50000000,en,57.673932,41037742,6.6
416,82500000,en,41.176631,237681299,6.0
417,8000000,en,13.661289,21028755,6.7
418,85000000,en,11.77398,112483764,4.9
419,85000000,en,21.218,222231186,5.9
420,85000000,en,58.57976,160388063,6.5
421,65000000,en,51.970905,84785914,7.3
422,82000000,en,18.447479,96085477,5.7
423,80000000,en,109.684788,484572835,6.4
424,80000000,en,77.580661,274470394,6.0
425,80000000,en,75.290998,457696359,6.7
426,75000000,en,68.550698,691210692,6.9
427,80000000,en,58.040149,254455986,6.2
428,80000000,en,59.113174,280000000,6.6
429,80000000,en,36.32705,343397247,6.3
430,80000000,en,55.659988,145771527,7.1
431,85000000,en,14.132583,144000000,5.8
432,75000000,en,34.070054,140464664,5.9
433,84000000,en,44.34333,0,6.4
434,82000000,en,26.065735,190320568,6.2
435,75000000,en,23.473004,342695435,5.4
436,80000000,en,45.589568,246984278,5.8
437,80000000,en,23.496054,230685453,6.0
438,80000000,en,16.939441,266728738,6.3
439,80000000,en,81.914696,294804195,7.8
440,80000000,en,19.500893,163733697,5.3
441,75000000,en,29.558157,260696994,6.0
442,80000000,en,46.075037,245676146,6.8
443,80000000,en,23.531721,212874442,5.9
444,80000000,en,49.078546,181001478,7.3
445,80000000,en,37.02665,214918407,6.3
446,75000000,en,45.154631,224012234,6.5
447,80000000,en,46.887983,178066569,6.3
448,79000000,en,24.598479,173013509,6.7
449,80000000,en,32.363538,157107755,6.6
450,80000000,en,11.50396,177977226,5.3
451,80000000,en,19.375768,91188905,5.2
452,80000000,en,36.125715,250200000,6.5
453,0,en,25.450534,0,5.6
454,80000000,en,41.890722,233093859,5.2
455,75000000,en,22.179658,136982834,6.5
456,68000000,en,139.575085,211817906,7.4
457,70000000,en,18.264635,164000000,5.6
458,80000000,en,11.187696,201584141,5.2
459,80000000,en,41.670544,122563539,7.4
460,80000000,en,27.46264,169852759,5.3
461,80000000,en,17.455024,136159423,5.0
462,80000000,en,21.394281,96105964,6.2
463,0,en,0.605645,0,8.0
464,80000000,en,61.692197,473226958,6.7
465,80000000,en,14.530946,90874570,7.0
466,80000000,en,25.978555,123729176,5.8
467,90000000,en,6.643778,0,5.9
468,102000000,en,36.788745,147080413,6.1
469,75000000,en,31.054334,142400065,5.9
470,85000000,en,21.891078,71485043,6.8
471,85000000,en,18.335992,0,5.2
472,88000000,en,40.138009,105316267,5.6
473,70000000,en,44.090535,101371017,6.1
474,0,fr,3.300061,0,6.4
475,0,en,20.632673,43312294,6.7
476,80000000,en,36.664991,122444772,5.9
477,80000000,en,18.26121,34566746,6.9
478,80000000,en,16.681269,159212469,5.8
479,80000000,en,10.088006,126546518,5.2
480,44000000,en,7.89147,21400000,3.0
481,80000000,en,16.715631,68514844,5.6
482,80000000,en,9.357734,53825515,5.1
483,80000000,en,11.22268,19480739,5.4
484,80000000,en,14.564667,17626234,6.1
485,90000000,en,11.356079,69131860,5.2
486,90000000,en,52.612025,146936910,5.7
487,80000000,en,13.800656,33463969,5.4
488,86000000,en,27.097932,107944236,6.0
489,0,en,10.706613,19406406,7.3
490,80000000,en,7.342892,5989640,4.8
491,130000000,en,50.561849,117831631,5.2
492,8000000,es,0.719996,0,5.3
493,60000000,en,59.248437,313542341,7.7
494,45000000,en,90.457886,788241776,8.0
495,79000000,en,40.723459,355692760,5.8
496,78000000,en,41.247402,248384621,6.4
497,78000000,en,10.083905,209196298,6.7
498,100000000,en,16.759252,108103450,6.5
499,79000000,en,22.132418,149673788,4.1
500,76000000,en,10.520961,236350661,6.2
501,64000000,en,35.384423,97571250,7.6
502,80000000,en,15.673154,15071514,5.7
503,76000000,en,8.981427,35134820,3.9
504,75000000,en,31.482872,875958308,5.9
505,78000000,en,47.436675,179265204,5.7
506,76000000,en,136.886704,970761885,7.0
507,75000000,en,60.442593,816969268,6.7
508,73000000,en,2.502487,229074524,6.2
509,75000000,en,48.110909,532680671,6.6
510,76000000,en,35.387874,69959751,7.4
511,75000000,en,4.66891,296339527,6.8
512,75000000,en,73.82289,258270008,6.4
513,75000000,en,51.469576,335062621,6.9
514,80000000,en,85.115058,660940780,6.5
515,75000000,en,61.437586,196482882,6.6
516,50000000,en,31.160542,90450008,6.5
517,80000000,en,15.761384,78000586,4.7
518,75000000,en,17.561955,0,4.3
519,75000000,en,71.124686,117698894,7.3
520,80000000,en,38.864027,271430189,6.0
521,60000000,en,57.753914,219417255,7.0
522,35000000,en,13.25753,73034460,5.7
523,75000000,en,13.318744,215663859,5.9
524,75000000,en,18.70031,119000410,6.5
525,75000000,en,47.094369,367275019,5.8
526,70000000,en,14.486311,154937680,6.6
527,53000000,en,18.61472,95226116,5.4
528,70000000,en,29.035222,130358911,6.9
529,70000000,en,27.055085,85632458,6.4
530,75000000,en,23.004607,98159963,5.7
531,75000000,en,48.744209,108145109,7.1
532,80000000,en,14.209329,55041367,5.8
533,75000000,en,36.368839,140175006,6.3
534,75000000,en,24.353302,67631903,6.2
535,55000000,en,19.143321,127600435,5.9
536,75000000,en,13.327372,0,6.4
537,75000000,en,37.917002,226904017,5.7
538,52000000,en,23.663713,77944725,6.2
539,75000000,en,14.44381,36754634,6.3
540,75000000,en,10.605084,51142659,5.0
541,75000000,en,11.873856,14567883,6.1
542,0,en,12.708963,5802422,5.8
543,75000000,en,8.098369,5409517,4.3
544,45000000,en,20.374308,21009180,5.7
545,75000000,en,42.006908,248118121,6.9
546,74000000,en,875.581305,1156730962,6.4
547,82000000,en,39.127082,89792502,5.9
548,73000000,en,20.790703,103891409,5.8
549,75000000,en,18.65988,13100000,5.8
550,73000000,en,45.720894,349779543,5.9
551,70000000,en,21.789615,111231041,5.4
552,75000000,en,20.199057,61458982,5.7
553,70000000,en,26.123705,86658558,6.5
554,72500000,en,12.599836,162966177,6.2
555,70000000,en,13.543053,176104344,4.9
556,72000000,en,60.722162,210000000,7.7
557,72000000,en,32.227223,96889998,6.6
558,75000000,en,46.875375,527068851,6.9
559,72000000,en,11.215702,37317558,6.6
560,94000000,en,8.468586,54744738,4.5
561,74500000,en,8.884318,62172050,6.9
562,60000000,en,27.491891,256697520,6.2
563,71000000,en,21.462935,294456605,5.4
564,72000000,en,28.848187,408247917,6.4
565,150000000,en,47.320801,919838758,6.7
566,120000000,en,82.643036,461983149,6.6
567,70000000,en,20.230535,309457509,5.7
568,70000000,en,46.217769,277448382,5.8
569,74000000,en,36.952268,311594032,5.8
570,80000000,en,16.411345,309492681,6.4
571,70000000,en,72.595961,319131050,7.9
572,70000000,en,33.648404,300854823,6.6
573,70000000,en,57.69847,240031094,6.6
574,80000000,en,34.052253,116643346,5.8
575,68000000,en,27.299301,203388341,6.5
576,75000000,en,20.219385,42285169,5.3
577,70000000,en,42.957216,171183863,5.5
578,75000000,en,29.412262,443140005,5.4
579,75000000,en,19.708731,114660784,6.7
580,70000000,en,59.428223,161025640,6.2
581,70000000,en,19.711951,118000000,6.3
582,70000000,en,49.199234,202466756,5.5
583,70000000,en,46.199482,122919055,7.6
584,0,en,13.758526,0,6.0
585,66000000,en,29.505574,177584879,7.0
586,70000000,en,43.873266,154984035,5.8
587,70000000,en,24.961625,90000098,7.1
588,70000000,en,23.25645,134748021,5.8
589,70000000,en,64.457947,215529201,6.2
590,70000000,en,20.089933,116672912,6.0
591,70000000,en,48.032734,135560026,7.1
592,70000000,en,16.92991,131457682,7.0
593,70000000,en,14.780634,67112664,5.2
594,70000000,en,14.086292,65977295,5.4
595,60000000,en,29.261348,55987321,5.0
596,70000000,en,13.267631,33561137,5.2
597,70000000,en,58.401204,160112671,6.1
598,75000000,en,23.515938,59418613,6.0
599,70000000,en,14.244518,32287044,5.9
600,66000000,en,29.501489,57777106,6.1
601,0,en,9.306253,0,3.4
602,70000000,en,8.37378,19924033,4.3
603,70000000,en,10.930537,19870567,5.5
604,75000000,en,10.54544,13596911,5.9
605,70000000,en,6.682006,18662027,5.9
606,70000000,en,46.832372,17752940,5.1
607,70000000,en,24.664776,57958696,5.7
608,70000000,en,13.483387,38629478,4.6
609,50000000,en,44.478043,122915111,6.7
610,70000000,en,25.020428,61279452,4.4
611,68000000,en,22.392544,193000000,5.9
612,68000000,en,107.069763,698491347,5.8
613,68000000,en,22.572323,71069884,6.7
614,69000000,en,113.858273,543513985,7.1
615,60000000,en,10.004564,35431113,5.4
616,68000000,en,68.734513,217022588,6.2
617,70000000,en,18.888806,39041505,6.9
618,68000000,en,12.948627,29762011,5.7
619,36000000,en,27.11589,83160734,5.4
620,90000000,en,26.153669,60289912,7.3
621,80000000,en,28.223664,52099090,6.3
622,70000000,en,37.507136,113280098,6.5
623,69000000,en,11.023691,86387857,5.5
624,69000000,en,38.634767,112265139,5.5
625,66000000,en,25.877794,212404396,6.0
626,66000000,en,18.59991,189198313,6.6
627,67000000,en,12.282911,25303038,5.0
628,70000000,en,76.041867,481840909,7.9
629,66000000,en,54.81489,203277636,6.1
630,70000000,en,31.39165,374111707,6.1
631,59000000,en,99.561972,383257136,7.1
632,68000000,en,26.792794,75715436,5.3
633,65000000,en,36.307296,275293450,6.7
634,63000000,en,104.309993,463517383,7.9
635,52000000,en,68.140214,355237933,7.3
636,65000000,en,14.646884,172855065,5.5
637,61000000,en,48.356214,441809770,7.1
638,65000000,en,28.540267,250821495,6.3
639,65000000,en,22.977983,128107642,6.5
640,95000000,en,31.086791,250288523,6.3
641,65000000,en,43.865294,211780824,6.2
642,65000000,en,43.055253,163442937,7.3
643,65000000,en,15.772081,128884132,6.3
644,70000000,en,26.19909,255000211,6.1
645,50000000,en,22.769108,150270147,5.7
646,65000000,en,18.281798,69700000,6.0
647,63000000,en,24.697533,162945894,5.9
648,65000000,en,19.718544,0,6.5
649,65000000,en,31.349143,179379533,5.9
650,65000000,en,27.870312,162091208,7.1
651,65000000,en,33.439187,133821816,6.0
652,50100000,en,59.634029,153962963,6.7
653,65000000,en,38.994297,156974557,5.9
654,65000000,en,49.660055,128905366,5.7
655,4200000,en,11.743085,38376497,6.4
656,65000000,en,9.110247,0,6.1
657,65000000,en,6.227675,240159255,5.6
658,45000000,en,42.57877,73762516,6.0
659,65000000,en,15.858629,89456761,6.5
660,65000000,en,14.866901,0,6.0
661,65000000,en,15.194239,64321501,6.1
662,63000000,en,146.757391,100853753,8.3
663,65000000,en,8.629665,43545364,6.7
664,65000000,en,16.803457,17218080,5.4
665,65000000,en,2.952595,0,4.9
